Sexo;Comunidades Autónomas;Sector del nivel de formación alcanzado;Periodo;Total
Hombres;01 Andalucía;10 Servicios;2019;14,63
Hombres;01 Andalucía;10 Servicios;2018;16,56
Hombres;01 Andalucía;10 Servicios;2017;22,71
Hombres;01 Andalucía;10 Servicios;2016;15,81
Hombres;01 Andalucía;99 Sectores desconocidos o no especificados;2020;12,22
Hombres;01 Andalucía;99 Sectores desconocidos o no especificados;2019;22,45
Hombres;01 Andalucía;99 Sectores desconocidos o no especificados;2018;31,59
Hombres;01 Andalucía;99 Sectores desconocidos o no especificados;2017;26,49
Hombres;01 Andalucía;99 Sectores desconocidos o no especificados;2016;26,05
Hombres;02 Aragón;00 Formación general, formación básica de adultos y habilidades personales;2020;11,91
Hombres;02 Aragón;00 Formación general, formación básica de adultos y habilidades personales;2019;12,17
Hombres;02 Aragón;00 Formación general, formación básica de adultos y habilidades personales;2018;11,7
Hombres;02 Aragón;00 Formación general, formación básica de adultos y habilidades personales;2017;12,58
Hombres;02 Aragón;00 Formación general, formación básica de adultos y habilidades personales;2016;13,05
Hombres;02 Aragón;01 Educación;2020;8,22
Hombres;02 Aragón;01 Educación;2019;0
Hombres;02 Aragón;01 Educación;2018;3,03
Hombres;02 Aragón;01 Educación;2017;0
Hombres;02 Aragón;01 Educación;2016;19,66
Hombres;02 Aragón;02 Artes, humanidades y lenguas;2020;11,17
Hombres;02 Aragón;02 Artes, humanidades y lenguas;2019;8,11
Hombres;02 Aragón;02 Artes, humanidades y lenguas;2018;18,5
Hombres;02 Aragón;02 Artes, humanidades y lenguas;2017;9,2
Hombres;02 Aragón;02 Artes, humanidades y lenguas;2016;2,54
Hombres;02 Aragón;03 Ciencias sociales, periodismo y documentación;2020;0
Hombres;02 Aragón;03 Ciencias sociales, periodismo y documentación;2019;0
Hombres;02 Aragón;03 Ciencias sociales, periodismo y documentación;2018;14,03
Hombres;02 Aragón;03 Ciencias sociales, periodismo y documentación;2017;0
Hombres;02 Aragón;03 Ciencias sociales, periodismo y documentación;2016;50,48
Hombres;02 Aragón;04 Negocios, administración y derecho;2020;6,65
Hombres;02 Aragón;04 Negocios, administración y derecho;2019;8,41
Hombres;02 Aragón;04 Negocios, administración y derecho;2018;2,9
Hombres;02 Aragón;04 Negocios, administración y derecho;2017;6,31
Hombres;02 Aragón;04 Negocios, administración y derecho;2016;7,73
Hombres;02 Aragón;05 Ciencias naturales, químicas, físicas y matemáticas;2020;5,16
Hombres;02 Aragón;05 Ciencias naturales, químicas, físicas y matemáticas;2019;0
Hombres;02 Aragón;05 Ciencias naturales, químicas, físicas y matemáticas;2018;0
Hombres;02 Aragón;05 Ciencias naturales, químicas, físicas y matemáticas;2017;2,26
Hombres;02 Aragón;05 Ciencias naturales, químicas, físicas y matemáticas;2016;9,75
Hombres;02 Aragón;06 Tecnologías de la información y las comunicaciones (TIC);2020;5,17
Hombres;02 Aragón;06 Tecnologías de la información y las comunicaciones (TIC);2019;9,88
Hombres;02 Aragón;06 Tecnologías de la información y las comunicaciones (TIC);2018;31
Hombres;02 Aragón;06 Tecnologías de la información y las comunicaciones (TIC);2017;6,71
Hombres;02 Aragón;06 Tecnologías de la información y las comunicaciones (TIC);2016;20,57
Hombres;02 Aragón;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2020;8,6
Hombres;02 Aragón;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2019;4,96
Hombres;02 Aragón;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2018;7,18
Hombres;02 Aragón;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2017;6,63
Hombres;02 Aragón;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2016;10,62
Hombres;02 Aragón;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2020;12,42
Hombres;02 Aragón;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2019;8,79
Hombres;02 Aragón;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2018;0
Hombres;02 Aragón;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2017;5,86
Hombres;02 Aragón;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2016;11
Hombres;02 Aragón;09 Salud y servicios sociales;2020;6,56
Hombres;02 Aragón;09 Salud y servicios sociales;2019;5,72
Hombres;02 Aragón;09 Salud y servicios sociales;2018;8,87
Hombres;02 Aragón;09 Salud y servicios sociales;2017;0,91
Hombres;02 Aragón;09 Salud y servicios sociales;2016;10,56
Hombres;02 Aragón;10 Servicios;2020;0
Hombres;02 Aragón;10 Servicios;2019;13,46
Hombres;02 Aragón;10 Servicios;2018;2,12
Hombres;02 Aragón;10 Servicios;2017;10
Hombres;02 Aragón;10 Servicios;2016;2,87
Hombres;02 Aragón;99 Sectores desconocidos o no especificados;2020;54,12
Hombres;02 Aragón;99 Sectores desconocidos o no especificados;2019;48,52
Hombres;02 Aragón;99 Sectores desconocidos o no especificados;2018;0
Hombres;02 Aragón;99 Sectores desconocidos o no especificados;2017;0
Hombres;02 Aragón;99 Sectores desconocidos o no especificados;2016;100
Hombres;03 Asturias, Principado de;00 Formación general, formación básica de adultos y habilidades personales;2020;18,13
Hombres;03 Asturias, Principado de;00 Formación general, formación básica de adultos y habilidades personales;2019;17,6
Hombres;03 Asturias, Principado de;00 Formación general, formación básica de adultos y habilidades personales;2018;15,05
Hombres;03 Asturias, Principado de;00 Formación general, formación básica de adultos y habilidades personales;2017;16,71
Hombres;03 Asturias, Principado de;00 Formación general, formación básica de adultos y habilidades personales;2016;27,61
Hombres;03 Asturias, Principado de;01 Educación;2020;0
Hombres;03 Asturias, Principado de;01 Educación;2019;8,63
Hombres;03 Asturias, Principado de;01 Educación;2018;0
Hombres;03 Asturias, Principado de;01 Educación;2017;6,97
Hombres;03 Asturias, Principado de;01 Educación;2016;0
Hombres;03 Asturias, Principado de;02 Artes, humanidades y lenguas;2020;17,31
Hombres;03 Asturias, Principado de;02 Artes, humanidades y lenguas;2019;37,55
Hombres;03 Asturias, Principado de;02 Artes, humanidades y lenguas;2018;0
Hombres;03 Asturias, Principado de;02 Artes, humanidades y lenguas;2017;29,39
Hombres;03 Asturias, Principado de;02 Artes, humanidades y lenguas;2016;12,04
Hombres;03 Asturias, Principado de;03 Ciencias sociales, periodismo y documentación;2020;28,66
Hombres;03 Asturias, Principado de;03 Ciencias sociales, periodismo y documentación;2019;0
Hombres;03 Asturias, Principado de;03 Ciencias sociales, periodismo y documentación;2018;0
Hombres;03 Asturias, Principado de;03 Ciencias sociales, periodismo y documentación;2017;0
Hombres;03 Asturias, Principado de;03 Ciencias sociales, periodismo y documentación;2016;12,42
Hombres;03 Asturias, Principado de;04 Negocios, administración y derecho;2020;8,94
Hombres;03 Asturias, Principado de;04 Negocios, administración y derecho;2019;6,8
Hombres;03 Asturias, Principado de;04 Negocios, administración y derecho;2018;10,49
Hombres;03 Asturias, Principado de;04 Negocios, administración y derecho;2017;9,35
Hombres;03 Asturias, Principado de;04 Negocios, administración y derecho;2016;4,53
Hombres;03 Asturias, Principado de;05 Ciencias naturales, químicas, físicas y matemáticas;2020;7,08
Hombres;03 Asturias, Principado de;05 Ciencias naturales, químicas, físicas y matemáticas;2019;12,03
Hombres;03 Asturias, Principado de;05 Ciencias naturales, químicas, físicas y matemáticas;2018;0
Hombres;03 Asturias, Principado de;05 Ciencias naturales, químicas, físicas y matemáticas;2017;26,04
Hombres;03 Asturias, Principado de;05 Ciencias naturales, químicas, físicas y matemáticas;2016;16,84
Hombres;03 Asturias, Principado de;06 Tecnologías de la información y las comunicaciones (TIC);2020;4,72
Hombres;03 Asturias, Principado de;06 Tecnologías de la información y las comunicaciones (TIC);2019;5,02
Hombres;03 Asturias, Principado de;06 Tecnologías de la información y las comunicaciones (TIC);2018;4,33
Hombres;03 Asturias, Principado de;06 Tecnologías de la información y las comunicaciones (TIC);2017;29,36
Hombres;03 Asturias, Principado de;06 Tecnologías de la información y las comunicaciones (TIC);2016;23,81
Hombres;03 Asturias, Principado de;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2020;6,32
Hombres;03 Asturias, Principado de;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2019;6,61
Hombres;03 Asturias, Principado de;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2018;12,57
Hombres;03 Asturias, Principado de;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2017;9,67
Hombres;03 Asturias, Principado de;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2016;17,15
Hombres;03 Asturias, Principado de;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2020;13,72
Hombres;03 Asturias, Principado de;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2019;0
Hombres;03 Asturias, Principado de;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2018;27,59
Hombres;03 Asturias, Principado de;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2017;0
Hombres;03 Asturias, Principado de;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2016;6,7
Hombres;03 Asturias, Principado de;09 Salud y servicios sociales;2020;11,25
Hombres;03 Asturias, Principado de;09 Salud y servicios sociales;2019;0
Hombres;03 Asturias, Principado de;09 Salud y servicios sociales;2018;8,27
Hombres;03 Asturias, Principado de;09 Salud y servicios sociales;2017;7,08
Hombres;03 Asturias, Principado de;09 Salud y servicios sociales;2016;3,55
Hombres;03 Asturias, Principado de;10 Servicios;2020;9,98
Hombres;03 Asturias, Principado de;10 Servicios;2019;10,98
Hombres;03 Asturias, Principado de;10 Servicios;2018;10,83
Hombres;03 Asturias, Principado de;10 Servicios;2017;18,9
Hombres;03 Asturias, Principado de;10 Servicios;2016;19,87
Hombres;03 Asturias, Principado de;99 Sectores desconocidos o no especificados;2020;..
Hombres;03 Asturias, Principado de;99 Sectores desconocidos o no especificados;2019;0
Hombres;03 Asturias, Principado de;99 Sectores desconocidos o no especificados;2018;0
Hombres;03 Asturias, Principado de;99 Sectores desconocidos o no especificados;2017;0
Hombres;03 Asturias, Principado de;99 Sectores desconocidos o no especificados;2016;54,01
Hombres;04 Balears, Illes;00 Formación general, formación básica de adultos y habilidades personales;2020;17,27
Hombres;04 Balears, Illes;00 Formación general, formación básica de adultos y habilidades personales;2019;11,11
Hombres;04 Balears, Illes;00 Formación general, formación básica de adultos y habilidades personales;2018;14,42
Hombres;04 Balears, Illes;00 Formación general, formación básica de adultos y habilidades personales;2017;13,68
Hombres;04 Balears, Illes;00 Formación general, formación básica de adultos y habilidades personales;2016;17,13
Hombres;04 Balears, Illes;01 Educación;2020;20,35
Hombres;04 Balears, Illes;01 Educación;2019;0
Hombres;04 Balears, Illes;01 Educación;2018;0
Hombres;04 Balears, Illes;01 Educación;2017;0
Hombres;04 Balears, Illes;01 Educación;2016;17,61
Hombres;04 Balears, Illes;02 Artes, humanidades y lenguas;2020;10,22
Hombres;04 Balears, Illes;02 Artes, humanidades y lenguas;2019;7,27
Hombres;04 Balears, Illes;02 Artes, humanidades y lenguas;2018;8
Hombres;04 Balears, Illes;02 Artes, humanidades y lenguas;2017;0
Hombres;04 Balears, Illes;02 Artes, humanidades y lenguas;2016;0
Hombres;04 Balears, Illes;03 Ciencias sociales, periodismo y documentación;2020;0
Hombres;04 Balears, Illes;03 Ciencias sociales, periodismo y documentación;2019;11,61
Hombres;04 Balears, Illes;03 Ciencias sociales, periodismo y documentación;2018;24,32
Hombres;04 Balears, Illes;03 Ciencias sociales, periodismo y documentación;2017;0
Hombres;04 Balears, Illes;03 Ciencias sociales, periodismo y documentación;2016;15,96
Hombres;04 Balears, Illes;04 Negocios, administración y derecho;2020;14,94
Hombres;04 Balears, Illes;04 Negocios, administración y derecho;2019;10,97
Hombres;04 Balears, Illes;04 Negocios, administración y derecho;2018;8,98
Hombres;04 Balears, Illes;04 Negocios, administración y derecho;2017;15,17
Hombres;04 Balears, Illes;04 Negocios, administración y derecho;2016;5,06
Hombres;04 Balears, Illes;05 Ciencias naturales, químicas, físicas y matemáticas;2020;7,14
Hombres;04 Balears, Illes;05 Ciencias naturales, químicas, físicas y matemáticas;2019;13,08
Hombres;04 Balears, Illes;05 Ciencias naturales, químicas, físicas y matemáticas;2018;0
Hombres;04 Balears, Illes;05 Ciencias naturales, químicas, físicas y matemáticas;2017;19,15
Hombres;04 Balears, Illes;05 Ciencias naturales, químicas, físicas y matemáticas;2016;0
Hombres;04 Balears, Illes;06 Tecnologías de la información y las comunicaciones (TIC);2020;7,73
Hombres;04 Balears, Illes;06 Tecnologías de la información y las comunicaciones (TIC);2019;0
Hombres;04 Balears, Illes;06 Tecnologías de la información y las comunicaciones (TIC);2018;6,68
Hombres;04 Balears, Illes;06 Tecnologías de la información y las comunicaciones (TIC);2017;12,72
Hombres;04 Balears, Illes;06 Tecnologías de la información y las comunicaciones (TIC);2016;0
Hombres;04 Balears, Illes;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2020;14,09
Hombres;04 Balears, Illes;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2019;4,31
Hombres;04 Balears, Illes;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2018;8,56
Hombres;04 Balears, Illes;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2017;2,41
Hombres;04 Balears, Illes;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2016;10,94
Hombres;04 Balears, Illes;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2020;21,65
Hombres;04 Balears, Illes;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2019;52,18
Hombres;04 Balears, Illes;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2018;67,59
Hombres;04 Balears, Illes;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2017;0
Hombres;04 Balears, Illes;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2016;17,6
Hombres;04 Balears, Illes;09 Salud y servicios sociales;2020;10,88
Hombres;04 Balears, Illes;09 Salud y servicios sociales;2019;0
Hombres;04 Balears, Illes;09 Salud y servicios sociales;2018;7,25
Hombres;04 Balears, Illes;09 Salud y servicios sociales;2017;6,71
Hombres;04 Balears, Illes;09 Salud y servicios sociales;2016;6,21
Hombres;04 Balears, Illes;10 Servicios;2020;16,29
Hombres;04 Balears, Illes;10 Servicios;2019;3,97
Hombres;04 Balears, Illes;10 Servicios;2018;0
Hombres;04 Balears, Illes;10 Servicios;2017;0
Hombres;04 Balears, Illes;10 Servicios;2016;17
Hombres;04 Balears, Illes;99 Sectores desconocidos o no especificados;2020;43,66
Hombres;04 Balears, Illes;99 Sectores desconocidos o no especificados;2019;0
Hombres;04 Balears, Illes;99 Sectores desconocidos o no especificados;2018;22,59
Hombres;04 Balears, Illes;99 Sectores desconocidos o no especificados;2017;0
Hombres;04 Balears, Illes;99 Sectores desconocidos o no especificados;2016;6,53
Hombres;05 Canarias;00 Formación general, formación básica de adultos y habilidades personales;2020;24,96
Hombres;05 Canarias;00 Formación general, formación básica de adultos y habilidades personales;2019;20,69
Hombres;05 Canarias;00 Formación general, formación básica de adultos y habilidades personales;2018;19,15
Hombres;05 Canarias;00 Formación general, formación básica de adultos y habilidades personales;2017;25,64
Hombres;05 Canarias;00 Formación general, formación básica de adultos y habilidades personales;2016;27,06
Hombres;05 Canarias;01 Educación;2020;19,61
Hombres;05 Canarias;01 Educación;2019;0
Hombres;05 Canarias;01 Educación;2018;18,69
Hombres;05 Canarias;01 Educación;2017;5,15
Hombres;05 Canarias;01 Educación;2016;2,84
Hombres;05 Canarias;02 Artes, humanidades y lenguas;2020;10,32
Hombres;05 Canarias;02 Artes, humanidades y lenguas;2019;15,87
Hombres;05 Canarias;02 Artes, humanidades y lenguas;2018;22,11
Hombres;05 Canarias;02 Artes, humanidades y lenguas;2017;49,02
Hombres;05 Canarias;02 Artes, humanidades y lenguas;2016;18,8
Hombres;05 Canarias;03 Ciencias sociales, periodismo y documentación;2020;33,93
Hombres;05 Canarias;03 Ciencias sociales, periodismo y documentación;2019;38,58
Hombres;05 Canarias;03 Ciencias sociales, periodismo y documentación;2018;14,25
Hombres;05 Canarias;03 Ciencias sociales, periodismo y documentación;2017;0
Hombres;05 Canarias;03 Ciencias sociales, periodismo y documentación;2016;3,47
Hombres;05 Canarias;04 Negocios, administración y derecho;2020;23
Hombres;05 Canarias;04 Negocios, administración y derecho;2019;4,41
Hombres;05 Canarias;04 Negocios, administración y derecho;2018;13,52
Hombres;05 Canarias;04 Negocios, administración y derecho;2017;17,19
Hombres;05 Canarias;04 Negocios, administración y derecho;2016;19,65
Hombres;05 Canarias;05 Ciencias naturales, químicas, físicas y matemáticas;2020;25,51
Hombres;05 Canarias;05 Ciencias naturales, químicas, físicas y matemáticas;2019;7,78
Hombres;05 Canarias;05 Ciencias naturales, químicas, físicas y matemáticas;2018;11,99
Hombres;05 Canarias;05 Ciencias naturales, químicas, físicas y matemáticas;2017;16,82
Hombres;05 Canarias;05 Ciencias naturales, químicas, físicas y matemáticas;2016;11,52
Hombres;05 Canarias;06 Tecnologías de la información y las comunicaciones (TIC);2020;29,88
Hombres;05 Canarias;06 Tecnologías de la información y las comunicaciones (TIC);2019;12,53
Hombres;05 Canarias;06 Tecnologías de la información y las comunicaciones (TIC);2018;8,81
Hombres;05 Canarias;06 Tecnologías de la información y las comunicaciones (TIC);2017;19,27
Hombres;05 Canarias;06 Tecnologías de la información y las comunicaciones (TIC);2016;29,16
Hombres;05 Canarias;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2020;9,47
Hombres;05 Canarias;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2019;16,7
Hombres;05 Canarias;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2018;16,47
Hombres;05 Canarias;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2017;11,46
Hombres;05 Canarias;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2016;16,22
Hombres;05 Canarias;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2020;33,6
Hombres;05 Canarias;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2019;27,47
Hombres;05 Canarias;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2018;30,63
Hombres;05 Canarias;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2017;19,51
Hombres;05 Canarias;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2016;22,7
Hombres;05 Canarias;09 Salud y servicios sociales;2020;11,55
Hombres;05 Canarias;09 Salud y servicios sociales;2019;3,2
Hombres;05 Canarias;09 Salud y servicios sociales;2018;8,34
Hombres;05 Canarias;09 Salud y servicios sociales;2017;7,79
Hombres;05 Canarias;09 Salud y servicios sociales;2016;10
Hombres;05 Canarias;10 Servicios;2020;26,1
Hombres;05 Canarias;10 Servicios;2019;29,48
Hombres;05 Canarias;10 Servicios;2018;5,06
Hombres;05 Canarias;10 Servicios;2017;25,18
Hombres;05 Canarias;10 Servicios;2016;10,82
Hombres;05 Canarias;99 Sectores desconocidos o no especificados;2020;27,32
Hombres;05 Canarias;99 Sectores desconocidos o no especificados;2019;2,56
Hombres;05 Canarias;99 Sectores desconocidos o no especificados;2018;18,33
Hombres;05 Canarias;99 Sectores desconocidos o no especificados;2017;5,17
Hombres;05 Canarias;99 Sectores desconocidos o no especificados;2016;13,99
Hombres;06 Cantabria;00 Formación general, formación básica de adultos y habilidades personales;2020;15,65
Hombres;06 Cantabria;00 Formación general, formación básica de adultos y habilidades personales;2019;9,02
Hombres;06 Cantabria;00 Formación general, formación básica de adultos y habilidades personales;2018;8,29
Hombres;06 Cantabria;00 Formación general, formación básica de adultos y habilidades personales;2017;18,98
Hombres;06 Cantabria;00 Formación general, formación básica de adultos y habilidades personales;2016;18,16
Hombres;06 Cantabria;01 Educación;2020;19,8
Hombres;06 Cantabria;01 Educación;2019;0
Hombres;06 Cantabria;01 Educación;2018;0
Hombres;06 Cantabria;01 Educación;2017;7,79
Hombres;06 Cantabria;01 Educación;2016;9,63
Hombres;06 Cantabria;02 Artes, humanidades y lenguas;2020;6,5
Hombres;06 Cantabria;02 Artes, humanidades y lenguas;2019;13,85
Hombres;06 Cantabria;02 Artes, humanidades y lenguas;2018;0
Hombres;06 Cantabria;02 Artes, humanidades y lenguas;2017;11,73
Hombres;06 Cantabria;02 Artes, humanidades y lenguas;2016;30,79
Hombres;06 Cantabria;03 Ciencias sociales, periodismo y documentación;2020;18,86
Hombres;06 Cantabria;03 Ciencias sociales, periodismo y documentación;2019;18,65
Hombres;06 Cantabria;03 Ciencias sociales, periodismo y documentación;2018;0
Hombres;06 Cantabria;03 Ciencias sociales, periodismo y documentación;2017;0
Hombres;06 Cantabria;03 Ciencias sociales, periodismo y documentación;2016;0
Hombres;06 Cantabria;04 Negocios, administración y derecho;2020;5,76
Hombres;06 Cantabria;04 Negocios, administración y derecho;2019;2,86
Hombres;06 Cantabria;04 Negocios, administración y derecho;2018;8,96
Hombres;06 Cantabria;04 Negocios, administración y derecho;2017;5,27
Hombres;06 Cantabria;04 Negocios, administración y derecho;2016;10,22
Hombres;06 Cantabria;05 Ciencias naturales, químicas, físicas y matemáticas;2020;30,73
Hombres;06 Cantabria;05 Ciencias naturales, químicas, físicas y matemáticas;2019;16,68
Hombres;06 Cantabria;05 Ciencias naturales, químicas, físicas y matemáticas;2018;0
Hombres;06 Cantabria;05 Ciencias naturales, químicas, físicas y matemáticas;2017;20,6
Hombres;06 Cantabria;05 Ciencias naturales, químicas, físicas y matemáticas;2016;11,35
Hombres;06 Cantabria;06 Tecnologías de la información y las comunicaciones (TIC);2020;0
Hombres;06 Cantabria;06 Tecnologías de la información y las comunicaciones (TIC);2019;30,84
Hombres;06 Cantabria;06 Tecnologías de la información y las comunicaciones (TIC);2018;15,17
Hombres;06 Cantabria;06 Tecnologías de la información y las comunicaciones (TIC);2017;13,75
Hombres;06 Cantabria;06 Tecnologías de la información y las comunicaciones (TIC);2016;5,12
Hombres;06 Cantabria;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2020;8,27
Hombres;06 Cantabria;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2019;7,24
Hombres;06 Cantabria;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2018;11,35
Hombres;06 Cantabria;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2017;13,3
Hombres;06 Cantabria;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2016;9,17
Hombres;06 Cantabria;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2020;0
Hombres;06 Cantabria;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2019;0
Hombres;06 Cantabria;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2018;28,8
Hombres;06 Cantabria;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2017;0
Hombres;06 Cantabria;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2016;0
Hombres;06 Cantabria;09 Salud y servicios sociales;2020;0
Hombres;06 Cantabria;09 Salud y servicios sociales;2019;0
Hombres;06 Cantabria;09 Salud y servicios sociales;2018;0
Hombres;06 Cantabria;09 Salud y servicios sociales;2017;8,84
Hombres;06 Cantabria;09 Salud y servicios sociales;2016;7,92
Hombres;06 Cantabria;10 Servicios;2020;17,36
Hombres;06 Cantabria;10 Servicios;2019;15,61
Hombres;06 Cantabria;10 Servicios;2018;6,45
Hombres;06 Cantabria;10 Servicios;2017;13,47
Hombres;06 Cantabria;10 Servicios;2016;8,73
Hombres;06 Cantabria;99 Sectores desconocidos o no especificados;2020;49,92
Hombres;06 Cantabria;99 Sectores desconocidos o no especificados;2019;0
Hombres;06 Cantabria;99 Sectores desconocidos o no especificados;2018;0
